"ambi_97","Integer","","Recommended","Would like to have more power than other people.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_8"
"ambi_98","Integer","","Recommended","Believe in universal harmony.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_9"
"ambi_99","Integer","","Recommended","Am skilled in handling social situations.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_10"
"ambi_100","Integer","","Recommended","Try to avoid complex people.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_11"
"ambi_101","Integer","","Recommended","See myself as a good leader.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_12"
"ambi_102","Integer","","Recommended","Avoid crowds.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_13"
"ambi_103","Integer","","Recommended","Am not good at telling jokes.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_14"
"ambi_104","Integer","","Recommended","Don't use harsh language.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_15"
"ambi_105","Integer","","Recommended","Am able to fix electrical-wiring problems.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_16"
"ambi_106","Integer","","Recommended","Enjoy games of strategy.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_17"
"ambi_107","Integer","","Recommended","Was a slow learner in school.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_18"
"ambi_108","Integer","","Recommended","Often stop to analyze how I'm feeling.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_19"
"ambi_109","Integer","","Recommended","Get deeply immersed in music.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_20"
"ambi_110","Integer","","Recommended","Like to solve complex problems.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_21"
"ambi_111","Integer","","Recommended","Am concerned about others.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_22"
"ambi_112","Integer","","Recommended","Like to tidy up.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_23"
"ambi_113","Integer","","Recommended","Don't feel the need to be close to others.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_24"
"ambi_114","Integer","","Recommended","Love my enemies.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_25"
"ambi_115","Integer","","Recommended","Have an imagination that stretches beyond that of my friends.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_26"
"ambi_116","Integer","","Recommended","Find it difficult to organize tasks and activities.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_27"
"ambi_117","Integer","","Recommended","Feel that life has no meaning.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_28"
"ambi_118","Integer","","Recommended","Like being the authority who has everyone's attention.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_29"
"ambi_119","Integer","","Recommended","Have attacked someone physically.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_30"
"ambi_120","Integer","","Recommended","Like to stand out in a crowd.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_31"
"ambi_121","Integer","","Recommended","Get upset if others change the way that I have arranged things.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_32"
"ambi_122","Integer","","Recommended","Want things to proceed according to plan.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_33"
"ambi_123","Integer","","Recommended","Am often in a bad mood.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_34"
"ambi_124","Integer","","Recommended","Want to be the very best.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_35"
"ambi_125","Integer","","Recommended","Feel used by other people.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_36"
"ambi_126","Integer","","Recommended","Am able to control my cravings.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_37"
"ambi_127","Integer","","Recommended","Know what to say to make people feel good.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_38"
"ambi_128","Integer","","Recommended","Get so involved with things that I forget the time.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_39"
"ambi_129","Integer","","Recommended","Am often bored.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_40"
"ambi_130","Integer","","Recommended","Demand attention.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_41"
"ambi_131","Integer","","Recommended","Want everything to be ""just right.""","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_42"
"ambi_132","Integer","","Recommended","Would love to explore strange places.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_43"
"ambi_133","Integer","","Recommended","Amuse my friends.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_44"
"ambi_134","Integer","","Recommended","Worry about being embarrassed.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_45"
"ambi_135","Integer","","Recommended","Want to be left alone.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w3_46"
"ambi_136","Integer","","Recommended","Don't know why I do some of the things I do.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_1"
"ambi_137","Integer","","Recommended","Am exacting in my work.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_2"
"ambi_138","Integer","","Recommended","Have difficulty imagining things.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_3"
"ambi_139","Integer","","Recommended","Am not interested in theoretical discussions.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_4"
"ambi_140","Integer","","Recommended","Don't enjoy being the object of jokes.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_5"
"ambi_141","Integer","","Recommended","Plan my life logically.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_6"
"ambi_142","Integer","","Recommended","Indulge in my fantasies.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_7"
"ambi_143","Integer","","Recommended","Rarely cry during sad movies.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_8"
"ambi_144","Integer","","Recommended","Get to work at once.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_9"
"ambi_145","Integer","","Recommended","Wait for others to lead the way.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_10"
"ambi_146","Integer","","Recommended","Have never hated anyone.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_11"
"ambi_147","Integer","","Recommended","Need reassurance.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_12"
"ambi_148","Integer","","Recommended","Feel emotions with extreme intensity.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_13"
"ambi_149","Integer","","Recommended","Spend a lot of time reading.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_14"
"ambi_150","Integer","","Recommended","Don't try to figure myself out.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_15"
"ambi_151","Integer","","Recommended","Break my promises.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_16"
"ambi_152","Integer","","Recommended","Need a push to get started.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_17"
"ambi_153","Integer","","Recommended","Have a colorful and dramatic way of talking about things.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_18"
"ambi_154","Integer","","Recommended","Come up with new ways to do things.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_19"
"ambi_155","Integer","","Recommended","Don't like to spend money.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_20"
"ambi_156","Integer","","Recommended","Believe in a universal power or God.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_21"
"ambi_157","Integer","","Recommended","Am the life of the party.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_22"
"ambi_158","Integer","","Recommended","Don't attempt to conform to society's expectations.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_23"
"ambi_159","Integer","","Recommended","Wonder how I got to be the way that I am.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_24"
"ambi_160","Integer","","Recommended","Feel short-changed in life.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_25"
"ambi_161","Integer","","Recommended","Will not probe deeply into a subject.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_26"
"ambi_162","Integer","","Recommended","Panic easily.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_27"
"ambi_163","Integer","","Recommended","Have a strong personality.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_28"
"ambi_164","Integer","","Recommended","Prefer to participate fully rather than view life from the sidelines.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_29"
"ambi_165","Integer","","Recommended","Spend more money than I should.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_30"
"ambi_166","Integer","","Recommended","Make people feel at ease.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_31"
"ambi_167","Integer","","Recommended","Am always prepared.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_32"
"ambi_168","Integer","","Recommended","Keep my feelings to myself, regardless of how unhappy I am.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_33"
"ambi_169","Integer","","Recommended","Spend more money than I have.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_34"
"ambi_170","Integer","","Recommended","Love to chat.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_35"
"ambi_171","Integer","","Recommended","Am hard to get to know.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_36"
"ambi_172","Integer","","Recommended","Get back at people who insult me.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_37"
"ambi_173","Integer","","Recommended","Am relaxed most of the time.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_38"
"ambi_174","Integer","","Recommended","Check on things more often than necessary.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_39"
"ambi_175","Integer","","Recommended","Get too tired to do anything.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_40"
"ambi_176","Integer","","Recommended","Don't call attention to myself.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_41"
"ambi_177","Integer","","Recommended","Am a good listener.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_42"
"ambi_178","Integer","","Recommended","Shout or scream when I'm angry.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_43"
"ambi_179","Integer","","Recommended","Disclose my intimate thoughts.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_44"
"ambi_180","Integer","","Recommended","Am under constant pressure.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_45"
"ambi_181","Integer","","Recommended","Believe that most people would lie to get ahead.","1 :: 5; 77; 88; -999","1= Very Inaccurate; 2= Moderately Inaccurate; 3= Neither Inaccurate nor Accurate; 4= Moderately Accurate; 5= Very Accurate; 77=Refused; 88=Missing; -999=NA","ambi_w4_46"
