"bq102","Integer","","Recommended","102. sit quietly and watch?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_102_sitwatch"
"bq103","Integer","","Recommended","103. want to be cuddled?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_24,q_103_cuddle"
"bq104","Integer","","Recommended","104. seem to be frightened for no apparent reason?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_38,q_104_frighten"
"bq105","Integer","","Recommended","105. seem to be irritated by the tags in his/her clothes?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_16,ecbq_39,q_105_tagirritate�"
"bq106","Integer","","Recommended","106. notice when you were wearing new clothing?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_106_noticenewclothes"
"bq107","Integer","","Recommended","107. react to beeping sounds?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_107_reactbeepsound"
"bq108","Integer","","Recommended",""" 108. show repeated movements like squinting,   hunching up the shoulders, or twitching the facial   muscles?""","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_108_repeatmovement"
"bq109","Integer","","Recommended","109. squirm and try to get away?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_61,q_109_squirm"
"bq110","Integer","","Recommended","110. stay still?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_62,q_110_staystll"
"bq111","Integer","","Recommended","111. stop an activity quickly?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_111_stopquick�"
"bq112","Integer","","Recommended","112. stop the forbidden activity?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_21,ecbq_63,q_112_stopforbidden�"
"bq113","Integer","","Recommended","113. ignore your warning?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_113_ignorewarning�"
"bq114","Integer","","Recommended","114. become sadly tearful?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_64,q_114_tearful�"
"bq115","Integer","","Recommended","115. calm down quickly?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_65,q_115_calmquick�"
"bq116","Integer","","Recommended","116. have a hard time settling down?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_66,q_116_hardtosettle"
"bq117","Integer","","Recommended","117. seem to feel down or blue?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_23,ecbq_67,q_117_feeldown"
"bq118","Integer","","Recommended","118. become sadly tearful?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_22,q_118_sadtearful"
"bq119","Integer","","Recommended","119. become angry?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_119_angry�"
"bq120","Integer","","Recommended","120. easily shift attention from one activity to another?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_68,q_120_easyshift�"
"bq121","Integer","","Recommended","121. do more than one thing at a time?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_121_multitask�"
"bq122","Integer","","Recommended","122. run through the house?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_24,ecbq_75,q_122_runaround�"
"bq123","Integer","","Recommended","123. climb over furniture?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_76,q_123__climbfurniture�"
"bq124","Integer","","Recommended","124. not care for rough and rowdy games?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_124_dislikerowdygames�"
"bq125","Integer","","Recommended",""" 125. enjoy activities such as being spun, etc?  ""","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_77,q_125_enjoyspun�"
"bq126","Integer","","Recommended","126. become easily distracted?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_78,q_126_easydistract"
"bq127","Integer","","Recommended","127. play with a set of objects for 5 minutes or longer  at a time?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_79,q_127_playmore5�"
"bq128","Integer","","Recommended","128. scratch herself?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_128_sratchself"
"bq129","Integer","","Recommended","129. tear materials close at hand?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_80,q_129_tearitems�"
"bq130","Integer","","Recommended","130. get so worked up that he had trouble sitting still?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_130_troublesitstill�"
"bq131","Integer","","Recommended","131. get very excited about getting it?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_25,ecbq_81,q_131_excitedgettingit"
"bq132","Integer","","Recommended","132. remain pretty calm?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_82,q_132_remainclam"
"bq133","Integer","","Recommended","133. seem eager to have it right away?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_133_eager�"
"bq134","Integer","","Recommended","134. become frustrated?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_83,q_134_frustrated"
"bq135","Integer","","Recommended","135. protest with anger?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_84,q_135_protestanger"
"bq136","Integer","","Recommended","136. have a temper tantrum?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_26,ecbq_85,q_136_tantrum�"
"bq137","Integer","","Recommended","137. become sad?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_86,q_137_sad�"
"bq138","Integer","","Recommended","138. notice sights or sounds (for example, wind chimes or water sprinklers)?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_87,q_138_noticesightsound"
"bq139","Integer","","Recommended","139. notice flying or crawling insects?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_139_noticeinsects�"
"bq140","Integer","","Recommended","140. grab the object as soon as it was set down?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_140_grabobject"
"bq141","Integer","","Recommended","141. look the object over before touching it?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_141_lookbeforetouch�"
"bq142","Integer","","Recommended","142. seem unable to wait for as long as 1 minute?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_142_notwait�"
"bq143","Integer","","Recommended","143. go after it anyway?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_88,q_143_goafter�"
"bq144","Integer","","Recommended","144. wait patiently?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_27,ecbq_89,q_144_waitpatiently�"
"bq145","Integer","","Recommended","145. whimper and cry?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_145_whimpercry"
"bq146","Integer","","Recommended","146. smile?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_28,ecbq_90,q_146_smile�"
"bq147","Integer","","Recommended","147. make sounds of pleasure?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_147_soundpleasure�"
"bq148","Integer","","Recommended","148. stay back and avoid eye contact?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_148_stayback"
"bq149","Integer","","Recommended","149. hide her face?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_149_hideface"
"bq150","Integer","","Recommended","150. warm up to the person within a few minutes?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_150_warmup"
"bq151","Integer","","Recommended","151. become sad?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_91,q_151_sad�"
"bq152","Integer","","Recommended","152. become bothered by sounds while in noisy  environments?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_17,ecbq_69,q_152_dislikenoise"
"bq153","Integer","","Recommended","153. become bothered by scratchy materials like wool?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_70,q_153_dislikewool�"
"bq154","Integer","","Recommended","154. notice changes in your appearance? (such as wet hair, a hat, or jewelry)?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_71,q_154_noticechange"
"bq155","Integer","","Recommended","155. appear to listen to even very quiet sounds?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_72,q_155_listenquietsound"
"bq156","Integer","","Recommended",""" 156. seem full of energy, even in the evening?  ""","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_18,ecbq_73,q_156_fullenergy"
"bq157","Integer","","Recommended","157. immediately return to watching the TV program?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_157_returntv"
"bq158","Integer","","Recommended","158. not finish watching the program?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_158_notfinishprg"
"bq159","Integer","","Recommended","159. pull away and kick?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_159_pullkick"
"bq160","Integer","","Recommended","160. seem to enjoy himself/herself?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_92,q_160_enjoyself�"
"bq161","Integer","","Recommended","161. mold to your body?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_29,ecbq_93,q_161_moldtobody"
"bq162","Integer","","Recommended","162. seek hugs and kisses?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_162_seekhugkiss�"
"bq163","Integer","","Recommended","163. enjoy listening to the story?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_163_enjoystory"
"bq164","Integer","","Recommended","164. become very enthusiastic?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_164_enthusiastic"
"bq165","Integer","","Recommended","165. look forward to it?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_94,q_165_lookforward�"
"bq166","Integer","","Recommended","166. remain pretty calm?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_166_calm"
"bq167","Integer","","Recommended","167. stay interested in the book for 5 minutes or less?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_167_interestless5�"
"bq168","Integer","","Recommended","168. stay interested in the book for more than 10  minutes at a time?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_168_interestmore10"
"bq169","Integer","","Recommended","169. become easily distracted?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_95,q_169_distracted"
"bq170","Integer","","Recommended","170. enjoy looking at the books?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_170_lookatbook"
"bq171","Integer","","Recommended","171. become easily frustrated?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_171_frustrated"
"bq172","Integer","","Recommended","172. want to interact with the adult?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_96,q_172_interactadult�"
"bq173","Integer","","Recommended","173. stop an ongoing activity?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_97,q_173_stopactivity"
"bq174","Integer","","Recommended","174. lower her voice?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_174_lowervoice"
"bq175","Integer","","Recommended","175. be careful with something breakable?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_31,ecbq_98,q_175_carefulbreakable"
"bq176","Integer","","Recommended","176. not want to enter?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","bq3177_176,ecbq_99,q_176_notenter"
"bq177","Integer","","Recommended","177. go right in?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_177_goin"
"bq178","Integer","","Recommended","178. jump into the task before it was fully explained?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_178_jumpattask"
"bq179","Integer","","Recommended","179. easily switch attention from speaker to speaker?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_100,q_179_switchattention�"
"bq180","Integer","","Recommended","180. become irritated when his/her clothes were tight?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_74,q_180_irritated�"
"bq181","Integer","","Recommended","181. notice smells from cooking?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_181_noticecokking�"
"bq182","Integer","","Recommended","182. rock back and forth while sitting?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_182_rocksit�"
"bq183","Integer","","Recommended","183. notice sirens from fire trucks or ambulances at a   distance?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_183_noticesirens"
"bq184","Integer","","Recommended","184. get mad?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_101,q_184_mad�"
"bq185","Integer","","Recommended","185. have hurt feelings?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_185_hurtfeeling�"
"bq186","Integer","","Recommended",""" 186. cry for more than 3 minutes, even when being  comforted?  ""","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_33,ecbq_102,q_186_crymore3"
"bq187","Integer","","Recommended","187. cheer up within a minute or two when being   comforted?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_187_cheerquick"
"bq188","Integer","","Recommended","188. become easily soothed?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_34,ecbq_103,q_188_easysoothe"
"bq189","Integer","","Recommended","189. find another activity to do when asked?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_35,ecbq_104,q_189_changeactivity"
"bq190","Integer","","Recommended","190. want to jump from heights?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_105,q_190_jumpheight"
"bq191","Integer","","Recommended","191. want to go down the slide in unusual ways?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_191_slideunusual"
"bq192","Integer","","Recommended","192. enjoy being pushed fast on a wheeled vehicle?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_192_enjoypush�"
"bq193","Integer","","Recommended","193. enjoy sitting down and playing quietly?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_193_enjoysitplay"
"bq194","Integer","","Recommended","194. chew her lower lip?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_194_chewlip�"
"bq195","Integer","","Recommended","195. stick out his tongue when concentrating?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_195_stickouttongue"
"bq196","Integer","","Recommended","196. move from one task or activity to another without  completing any?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_196_changeactivity"
"bq197","Integer","","Recommended","197. have trouble focusing on a task without guidance?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_197_troublefocus"
"bq198","Integer","","Recommended","198. become extremely animated?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_198_animated"
"bq199","Integer","","Recommended","199. want to be involved in a group activity?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","q_199_grpactivity�"
"bq200","Integer","","Recommended","200. enjoy playing with a number of different people?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq3177_36,ecbq_106,q_200_enjoydiffpeople�"
"bq201","Integer","","Recommended","201. become sad?","0::7; -9","0 = Does not apply; 1 = Never; 2 = Very rarely; 3 = Less than half the time; 4 = About half the time; 5 = More than half the time; 6 = Almost always; 7 = Always; -9 = Missing value","ecbq_107,q_201_becomesad"
"psqdcom","String","1000","Recommended","Additional comments","","","BQNote,commentvalidity"
"ecbq_activity","Float","","Recommended","Level (rate and intensity) of gross motor activity, including rate and extent of locomotion (=IBQ Activity) ","","","activity_level_energy�"
"ecbq_attn_focus","Float","","Recommended","Sustained duration of orienting on an object of attention; resisting distraction (=IBQ Orienting) ","","","attentional_focusing"
"ecbq_attn_shift","Float","","Recommended","The ability to transfer attentional focus from one activity/task to another ","","","attentional_shifting"
"ecbq_cuddliness","Float","","Recommended","Child�s expression of enjoyment in and molding of the body to being held by a caregiver (=IBQ Cuddliness) ","","","cuddliness"
"ecbq_discomfort","Float","","Recommended","Amount of negative affect related to sensory qualities of stimulation, including intensity, rate or complexity of light, sound, texture ","","","discomfort"
"ecbq_fear","Float","","Recommended","Negative affect, including unease, worry, or nervousness related to anticipated pain or distress and/or potentially threatening situations; startle to sudden events (=IBQ Fear) ","","","fear"
"ecbq_frustration","Float","","Recommended","Negative affect related to interruption of ongoing tasks or goal blocking (aka Anger)","","","frustration�"
"ecbq_high_pleas","Float","","Recommended","Pleasure or enjoyment related to situations involving high stimulus intensity, rate, complexity, novelty and incongruity (=IBQ High_Pleas) ","","","high_intensity_pleasure�"
"ecbq_impulsive","Float","","Recommended","Speed of response initiation","","","impulsivity�"
